Source.Name,Minutes,Camera 1,Camera 2,Camera 3,Camera 4,Camera 5,Camera 6,Camera 7,Camera 8,Camera 9,Reading Time
2020-52,0,0,0,0,0,0,0,0,,,0
2020-52,3,18,25,10,0,0,0,0,,,60
2020-52,6,31,50,30,11,12,0,6,,,65
2020-52,9,50,79,57,36,32,9,20,,,70
2020-52,12,77,84,80,74,58,31,34,,,70
2020-52,15,88,87,85,84,70,60,38,,,65
2020-52,18,68,86,85,81,60,58,26,,,55
2020-52,21,59,81,84,80,57,50,20,,,50
2020-52,25,45,78,80,80,50,41,11,,,50
2020-52,30,36,69,79,79,48,35,6,,,55
2020-53,0,0,0,0,0,0,0,0,,,0
2020-53,3,12,20,6,0,0,0,0,,,999
2020-53,6,30,50,29,9,11,0,6,,,999
2020-53,9,48,77,53,31,30,8,21,,,64
2020-53,12,75,86,79,70,59,32,33,,,66
2020-53,15,89,86,83,85,70,62,37,,,67
2020-53,18,65,85,85,83,62,58,25,,,65
2020-53,21,60,83,85,80,58,50,20,,,50
2020-53,25,48,80,80,80,53,45,15,,,50
2020-53,30,40,70,80,80,50,39,10,,,55
2020-54,0,0,0,0,0,0,0,0,,,0
2020-54,3,16,21,10,1,0,0,0,,,65
2020-54,6,35,52,30,25,15,1,5,,,70
2020-54,9,51,78,58,59,31,15,20,,,70
2020-54,12,79,83,80,81,62,40,32,,,66
2020-54,15,90,86,87,85,71,65,38,,,70
2020-54,18,81,85,86,82,65,61,29,,,60
2020-54,21,60,84,83,80,59,55,21,,,60
2020-54,25,48,80,81,80,55,47,17,,,58
2020-54,30,40,72,78,79,50,46,15,,,62
2020-56,0,0,0,0,0,0,,,,,0
2020-56,3,12,16,0,0,0,,,,,37
2020-56,6,29,40,14,5,6,,,,,40
2020-56,9,42,65,37,29,20,,,,,45
2020-56,12,55,82,65,60,35,,,,,50
2020-56,15,75,84,80,80,49,,,,,60
2020-56,18,51,77,79,76,35,,,,,45
2020-56,21,38,71,76,75,30,,,,,55
2020-56,25,30,60,70,70,27,,,,,59
2020-56,30,26,54,63,62,20,,,,,58
2020-57,0,0,0,0,0,0,,,,,0
2020-57,3,11,13,0,0,0,,,,,32
2020-57,6,28,43,15,5,4,,,,,50
2020-57,9,40,65,34,27,18,,,,,48
2020-57,12,55,80,65,63,38,,,,,62
2020-57,15,78,83,80,79,50,,,,,60
2020-57,18,51,80,80,79,39,,,,,60
2020-57,21,40,72,77,74,31,,,,,60
2020-57,25,31,61,70,70,25,,,,,48
2020-57,30,28,54,65,62,20,,,,,51
2020-58,0,0,0,0,0,0,,,,,0
2020-58,3,10,14,2,1,0,,,,,35
2020-58,6,26,39,17,1,1,,,,,37
2020-58,9,38,78,30,18,11,,,,,41
2020-58,12,50,80,60,50,30,,,,,38
2020-58,15,72,84,80,78,45,,,,,35
2020-58,18,49,75,75,75,32,,,,,48
2020-58,21,35,65,71,70,29,,,,,28
2020-58,25,30,58,67,66,22,,,,,35
2020-58,30,26,51,61,60,16,,,,,30
2020-60,0,0,0,0,,,,,,,0
2020-60,3,10,17,0,,,,,,,999
2020-60,6,20,30,7,,,,,,,999
2020-60,9,37,58,20,,,,,,,999
2020-60,12,48,70,47,,,,,,,999
2020-60,15,53,79,60,,,,,,,999
2020-60,18,31,61,51,,,,,,,999
2020-60,21,27,45,42,,,,,,,999
2020-60,25,20,35,34,,,,,,,999
2020-60,30,999,999,999,,,,,,,999
2020-61,0,0,0,0,,,,,,,0
2020-61,3,0,2,1,,,,,,,30
2020-61,6,15,28,9,,,,,,,30
2020-61,9,29,42,20,,,,,,,33
2020-61,12,40,61,39,,,,,,,36
2020-61,15,56,79,60,,,,,,,35
2020-61,18,35,60,50,,,,,,,38
2020-61,21,28,46,41,,,,,,,30
2020-61,25,21,35,32,,,,,,,29
2020-61,30,17,29,23,,,,,,,28
2020-62,0,0,0,0,,,,,,,0
2020-62,3,1,3,1,,,,,,,38
2020-62,6,17,28,5,,,,,,,40
2020-62,9,33,49,8,,,,,,,36
2020-62,12,44,72,46,,,,,,,38
2020-62,15,58,82,66,,,,,,,33
2020-62,18,37,61,55,,,,,,,30
2020-62,21,29,49,45,,,,,,,32
2020-62,25,21,37,33,,,,,,,31
2020-62,30,15,28,26,,,,,,,36
